10대
지구온난화는 지구의 기온이 올라가는 현상으로 알고 있습니다. 
"이 지구온난화로 인해 날씨가 매우 더워지고, 지구의 재생능력이 줄어들고 있어요."
우리 스스로와 환경을 위해 지구온난화를 하루빨리 해결해야 한다고 생각합니다.
그래서 지구온난화를 막기 위해서는 우리가 지구를 덜 더운 상태로 유지하려고 노력해야 해요.
"자동차나 공장에서 나오는 연기를 줄이고, 재생 에너지를 사용하는 등의 방법으로 지구를 지키는 데 도움을 줄 수 있어요."
"지구를 보호하는 것은 우리 모두의 일이고, 작은 일들도 모여서 큰 변화를 만들 수 있다고 생각합니다"
지구온난화는 우리가 사용하는 자동차나 공장에서 나오는 연기와 같은 것들 때문에 일어납니다.
무분별하게 에너지를 사용하는 것도 지구온난화를 가속시킬 수 있다고 생각해요.
